FIPStxt,Stabr,Area_name,POVALL_2019,,,,,,,,,,,,,,,,,,,,,,,,,,
05073,AR,Lafayette ,"1,655",,,,,,,,,,,,,,,,,,,,,,,,,,
05075,AR,Lawrence ,"2,887",,,,,,,,,,,,,,,,,,,,,,,,,,
05077,AR,Lee ,"2,515",,,,,,,,,,,,,,,,,,,,,,,,,,
05079,AR,Lincoln ,"2,567",,,,,,,,,,,,,,,,,,,,,,,,,,
05081,AR,Little River ,"2,157",,,,,,,,,,,,,,,,,,,,,,,,,,
05083,AR,Logan ,"3,640",,,,,,,,,,,,,,,,,,,,,,,,,,
05085,AR,Lonoke ,"7,760",,,,,,,,,,,,,,,,,,,,,,,,,,
05087,AR,Madison ,"2,699",,,,,,,,,,,,,,,,,,,,,,,,,,
05089,AR,Marion ,"2,687",,,,,,,,,,,,,,,,,,,,,,,,,,
05091,AR,Miller ,"5,909",,,,,,,,,,,,,,,,,,,,,,,,,,
05093,AR,Mississippi ,"9,128",,,,,,,,,,,,,,,,,,,,,,,,,,
05095,AR,Monroe ,"1,681",,,,,,,,,,,,,,,,,,,,,,,,,,
05097,AR,Montgomery ,"1,756",,,,,,,,,,,,,,,,,,,,,,,,,,
05099,AR,Nevada ,"1,951",,,,,,,,,,,,,,,,,,,,,,,,,,
05101,AR,Newton ,"1,386",,,,,,,,,,,,,,,,,,,,,,,,,,
05103,AR,Ouachita ,"3,969",,,,,,,,,,,,,,,,,,,,,,,,,,
05105,AR,Perry ,"1,710",,,,,,,,,,,,,,,,,,,,,,,,,,
05107,AR,Phillips ,"5,841",,,,,,,,,,,,,,,,,,,,,,,,,,
05109,AR,Pike ,"1,769",,,,,,,,,,,,,,,,,,,,,,,,,,
05111,AR,Poinsett ,"5,339",,,,,,,,,,,,,,,,,,,,,,,,,,
05113,AR,Polk ,"3,991",,,,,,,,,,,,,,,,,,,,,,,,,,
05115,AR,Pope ,"10,218",,,,,,,,,,,,,,,,,,,,,,,,,,
05117,AR,Prairie ,"1,190",,,,,,,,,,,,,,,,,,,,,,,,,,
05119,AR,Pulaski ,"56,020",,,,,,,,,,,,,,,,,,,,,,,,,,
05121,AR,Randolph ,"3,036",,,,,,,,,,,,,,,,,,,,,,,,,,
05123,AR,St. Francis ,"6,679",,,,,,,,,,,,,,,,,,,,,,,,,,
05125,AR,Saline ,"11,665",,,,,,,,,,,,,,,,,,,,,,,,,,
05127,AR,Scott ,"1,983",,,,,,,,,,,,,,,,,,,,,,,,,,
05129,AR,Searcy ,"1,740",,,,,,,,,,,,,,,,,,,,,,,,,,
05131,AR,Sebastian ,"19,923",,,,,,,,,,,,,,,,,,,,,,,,,,
05133,AR,Sevier ,"2,962",,,,,,,,,,,,,,,,,,,,,,,,,,
05135,AR,Sharp ,"4,007",,,,,,,,,,,,,,,,,,,,,,,,,,
05137,AR,Stone ,"2,378",,,,,,,,,,,,,,,,,,,,,,,,,,
05139,AR,Union ,"7,216",,,,,,,,,,,,,,,,,,,,,,,,,,
05141,AR,Van Buren ,"3,235",,,,,,,,,,,,,,,,,,,,,,,,,,
05143,AR,Washington ,"34,731",,,,,,,,,,,,,,,,,,,,,,,,,,
05145,AR,White ,"11,613",,,,,,,,,,,,,,,,,,,,,,,,,,
05147,AR,Woodruff ,"1,678",,,,,,,,,,,,,,,,,,,,,,,,,,
05149,AR,Yell ,"3,265",,,,,,,,,,,,,,,,,,,,,,,,,,
06001,CA,Alameda ,"146,315",,,,,,,,,,,,,,,,,,,,,,,,,,
06003,CA,Alpine ,193,,,,,,,,,,,,,,,,,,,,,,,,,,
06005,CA,Amador ,"3,462",,,,,,,,,,,,,,,,,,,,,,,,,,
06007,CA,Butte ,"34,503",,,,,,,,,,,,,,,,,,,,,,,,,,
06009,CA,Calaveras ,"5,477",,,,,,,,,,,,,,,,,,,,,,,,,,
06011,CA,Colusa ,"2,554",,,,,,,,,,,,,,,,,,,,,,,,,,
06013,CA,Contra Costa ,"90,482",,,,,,,,,,,,,,,,,,,,,,,,,,
06015,CA,Del Norte ,"4,445",,,,,,,,,,,,,,,,,,,,,,,,,,
06017,CA,El Dorado ,"16,649",,,,,,,,,,,,,,,,,,,,,,,,,,
06019,CA,Fresno ,"200,873",,,,,,,,,,,,,,,,,,,,,,,,,,
06021,CA,Glenn ,"3,397",,,,,,,,,,,,,,,,,,,,,,,,,,
06023,CA,Humboldt ,"25,136",,,,,,,,,,,,,,,,,,,,,,,,,,
06025,CA,Imperial ,"38,020",,,,,,,,,,,,,,,,,,,,,,,,,,
06027,CA,Inyo ,"2,071",,,,,,,,,,,,,,,,,,,,,,,,,,
06029,CA,Kern ,"164,817",,,,,,,,,,,,,,,,,,,,,,,,,,
06031,CA,Kings ,"21,840",,,,,,,,,,,,,,,,,,,,,,,,,,
06033,CA,Lake ,"11,622",,,,,,,,,,,,,,,,,,,,,,,,,,
06035,CA,Lassen ,"3,789",,,,,,,,,,,,,,,,,,,,,,,,,,
06037,CA,Los Angeles ,"1,319,242",,,,,,,,,,,,,,,,,,,,,,,,,,
06039,CA,Madera ,"26,309",,,,,,,,,,,,,,,,,,,,,,,,,,
06041,CA,Marin ,"17,357",,,,,,,,,,,,,,,,,,,,,,,,,,
06043,CA,Mariposa ,"2,565",,,,,,,,,,,,,,,,,,,,,,,,,,
06045,CA,Mendocino ,"11,980",,,,,,,,,,,,,,,,,,,,,,,,,,
06047,CA,Merced ,"46,011",,,,,,,,,,,,,,,,,,,,,,,,,,
06049,CA,Modoc ,"1,757",,,,,,,,,,,,,,,,,,,,,,,,,,
06051,CA,Mono ,"1,437",,,,,,,,,,,,,,,,,,,,,,,,,,
06053,CA,Monterey ,"52,484",,,,,,,,,,,,,,,,,,,,,,,,,,
06055,CA,Napa ,"9,897",,,,,,,,,,,,,,,,,,,,,,,,,,
06057,CA,Nevada ,"9,268",,,,,,,,,,,,,,,,,,,,,,,,,,
06059,CA,Orange ,"297,658",,,,,,,,,,,,,,,,,,,,,,,,,,
06061,CA,Placer ,"26,170",,,,,,,,,,,,,,,,,,,,,,,,,,
